City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
smithers,54.78,-127.17,26.6,86,20,6.93,1608585059
mocajuba,-2.58,-49.51,83.71,67,84,2.93,1608585145
tarakan,3.3,117.63,78.44,86,100,6.76,1608585146
bluff,-46.6,168.33,62.01,93,97,1.01,1608585146
jacareacanga,-6.22,-57.75,83.79,80,100,1.7,1608585146
arraial do cabo,-22.97,-42.03,84.2,66,75,13.87,1608585146
salalah,17.02,54.09,77.0,36,0,10.29,1608585146
port alfred,-33.59,26.89,70.0,97,100,11.77,1608585146
new norfolk,-42.78,147.06,61.0,77,100,2.8,1608585146
fort nelson,58.81,-122.7,-13.0,69,20,4.7,1608585146
muravlenko,63.79,74.52,-26.05,86,98,10.69,1608585146
stokmarknes,68.56,14.91,42.01,86,93,4.0,1608585146
bairiki,1.33,172.98,82.4,78,20,8.05,1608584973
mwene-ditu,-7.0,23.45,63.91,95,47,1.72,1608585146
fort-shevchenko,44.51,50.26,31.19,96,95,12.95,1608585147
burhanpur,21.3,76.23,59.99,34,0,3.15,1608585147
hermanus,-34.42,19.23,70.0,81,64,5.01,1608585147
mataura,-46.19,168.86,62.01,93,31,1.01,1608585147
bredasdorp,-34.53,20.04,68.0,88,99,8.05,1608585147
lebu,-37.62,-73.65,58.93,73,0,19.44,1608585018
geraldton,-28.77,114.6,77.0,27,0,5.82,1608585147
hay river,60.82,-115.8,-11.2,69,93,2.24,1608585147
uige,-7.61,15.06,63.91,87,80,2.3,1608585147
bilma,18.69,12.92,63.88,26,21,3.0,1608585147
the valley,18.22,-63.06,82.4,65,20,18.34,1608584972
tombouctou,20.0,-3.0,63.36,32,0,14.12,1608585147
ushuaia,-54.8,-68.3,53.6,46,75,17.22,1608585147
vardo,70.37,31.11,28.4,86,0,23.04,1608585148
ternate,0.8,127.4,81.48,78,85,10.31,1608585148
harrisburg,40.27,-76.88,37.4,74,75,5.82,1608585045
trelew,-43.25,-65.31,65.14,41,1,21.54,1608585148
kant,27.8,79.8,53.51,42,78,3.89,1608585148
kaitangata,-46.28,169.85,61.0,89,70,3.49,1608585148
saskylakh,71.92,114.08,-37.86,78,32,9.17,1608585148
hobart,-42.88,147.33,61.0,87,75,8.05,1608585148
loutra,39.06,26.55,50.0,81,0,5.82,1608585148
katsuura,35.13,140.3,41.0,64,20,4.7,1608585148
flinders,-34.58,150.86,66.99,95,100,5.01,1608585148
coquimbo,-29.95,-71.34,62.6,72,20,13.87,1608585148
norman wells,65.28,-126.83,-23.8,74,75,2.24,1608585149
cape town,-33.93,18.42,71.6,73,0,9.17,1608584949
sechura,-5.56,-80.82,80.2,53,9,15.08,1608585149
pangoa,-12.12,-73.0,80.76,88,82,1.52,1608585149
albany,42.6,-73.97,37.0,74,97,1.66,1608584889
hithadhoo,-0.6,73.08,81.46,79,89,14.92,1608585149
puerto ayora,-0.74,-90.35,82.4,58,40,11.41,1608585149
mehamn,71.04,27.85,37.4,86,0,8.05,1608585149
ous,60.91,61.52,8.51,95,100,6.58,1608585152
ambon,-3.7,128.18,82.17,79,99,11.01,1608585153
calama,-22.47,-68.93,78.8,15,0,24.16,1608584992
punta arenas,-53.15,-70.92,55.4,37,90,24.16,1608585070
huron,41.15,-82.55,37.0,90,100,5.99,1608585153
hirara,24.8,125.28,68.45,79,100,18.59,1608585153
longyearbyen,78.22,15.64,21.2,67,75,16.11,1608585153
alnashi,56.19,52.48,15.35,96,100,12.59,1608585153
santa rosa,14.31,121.11,77.0,88,20,6.51,1608585011
kodiak,57.79,-152.41,37.4,86,90,6.93,1608585153
fort dix,40.03,-74.62,41.0,80,40,4.7,1608585153
yumen,40.28,97.2,15.71,92,100,29.48,1608585153
hamilton,39.18,-84.53,46.0,70,90,9.17,1608585153
dwarka,22.24,68.97,70.29,53,0,10.04,1608585154
